"Financial Quarter And Year Name - Reported","Postcode - Incident","Offence Level 1 Description","Offence Level 2 Description","Offence Level 3 Description","Offence Count"
"Q1-2013/2014","0872","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2013/2014","0872","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q1-2013/2014","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q1-2013/2014","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Other acts intended to cause injury","1"
"Q1-2013/2014","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","8"
"Q1-2013/2014","5000","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","2"
"Q1-2013/2014","5000","OFFENCES AGAINST THE PERSON","OTHER OFFENCES AGAINST THE PERSON","Abduction, harassment and other offences","1"
"Q1-2013/2014","5006","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q1-2013/2014","5007","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","2"
"Q1-2013/2014","5008","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","4"
"Q1-2013/2014","5009","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2013/2014","5009","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","5"
"Q1-2013/2014","5010","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q1-2013/2014","5010","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault resulting in injury","1"
"Q1-2013/2014","5011","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","1"
"Q1-2013/2014","5012","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","2"
"Q1-2013/2014","5012","OFFENCES AGAINST PROPERTY","SERIOUS CRIMINAL TRESPASS","SCT - Residence","1"
"Q1-2013/2014","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Common Assault","1"
"Q1-2013/2014","5012","OFFENCES AGAINST THE PERSON","ACTS INTENDED TO CAUSE INJURY","Serious Assault not resulting in injury","7"
"Q1-2013/2014","5013","OFFENCES AGAINST PROPERTY","PROPERTY DAMAGE AND ENVIRONMENTAL","Other property damage and environmental","1"
"Q1-2013/2014","5013","OFFENCES AGAINST PROPERTY","THEFT AND RELATED OFFENCES","Theft/Illegal Use of MV","1"
